Student ID,Surname,First name,Email address,Laboratory,Assignment: Assignment_1 (Real),Assignment: Assignment_2 (Real),Assignment: Project (Real),Assignment: Assignment_3 (Real),Midterm (Real),Assignment: Assignment_4 (Real),External tool: Final Exam COMP (Real),Last downloaded from this course
,,,,,73,73.7,85,83.2,86.25,86.1,40,
,,,,,80,89.4,95,86.8,85,97.2,40,
,,,,,78,0,50,85,76.25,83.3,32,
,,,,,79,100,90,88.6,86.25,94.4,32,
,,,,,53.5,0,-,79.1,-,0,40,
,,,,,82.1,66.6,100,89.1,47.5,88.9,38,
,,,,,100,100,100,100,87.5,0,45,
,,,,,100,100,90,94,72.5,0,37,
,,,,,0,0,-,0,30,0,-,
,,,,,96,88.3,80,0,82.5,100,42,
,,,,,100,100,75,0,82.5,66.1,41,
,,,,,100,0,-,85,67.5,86.1,33,
,,,,,0,92,75,90.4,81.25,72.2,36,
,,,,,0,0,90,56.4,61.25,80.6,41,
,,,,,93.5,100,100,100,67.5,0,43,
,,,,,80.7,100,-,100,70,100,31,
,,,,,100,100,100,98.6,92.5,95.8,51,
,,,,,82,96.4,100,0,80,0,34,
,,,,,83,0,100,85.4,55,49.4,39,
,,,,,0,77.5,-,95.9,65,0,31,
,,,,,0,0,80,68.6,82.5,66.6,34,
,,,,,94.6,99.6,70,0,63.75,0,32,
,,,,,100,100,95,100,100,0,45,
,,,,,96,95.6,100,100,63.75,100,42,
,,,,,94,94.2,95,5,50,88.9,41,
,,,,,94,0,90,92.7,73.75,95.8,39,
,,,,,94,76.2,90,93.6,100,94.4,42,
,,,,,99.6,90.4,95,85,41.25,0,40,
,,,,,80.7,76.6,100,96.4,77.5,0,37,
,,,,,100,0,95,100,92.5,100,34,
,,,,,96,100,100,97.7,68.75,100,42,
,,,,,96,100,85,99.5,95,80.5,41,
,,,,,27,0,90,0,52.5,83.3,40,
,,,,,89,100,100,96.4,81.25,100,38,
,,,,,91.9,100,75,85,92.5,0,41,
,,,,,92.5,30,90,88.6,82.5,93,48,
,,,,,99.6,100,100,97.7,81.25,100,46,
,,,,,75.5,40.4,60,83.2,37.5,86.1,30,
,,,,,78,82.9,70,68.6,70,0,38,
,,,,,97.8,98.3,100,97.7,82.5,0,43,
,,,,,94.3,73.7,80,83.6,43.75,91.6,38,
,,,,,100,100,100,97.7,100,0,44,
,,,,,91,100,70,0,85,68,45,
,,,,,79.5,24.6,75,94,43.75,81.9,32,
,,,,,89,92,90,85.4,46.25,0,39,
,,,,,75,100,100,83.2,50,0,37,
,,,,,81,71.6,80,75.9,77.5,0,38,
,,,,,36.7,21.2,85,94.5,72.5,97.2,47,
,,,,,87,90,100,88.6,90,0,39,
,,,,,89,81.6,-,100,92.5,0,35,
,,,,,100,92.3,100,0,70,88.9,38,
,,,,,96,99.6,95,100,67.5,0,36,
,,,,,0,73.7,90,0,83.75,86.1,34,
,,,,,98,94.2,55,95.9,65,77.7,39,
,,,,,100,100,100,100,95,0,45,
,,,,,73,85,65,0,66.25,80.5,33,
,,,,,93,100,95,100,67.5,0,42,
,,,,,83.57,98.3,60,0,76.25,86.1,26,
,,,,,96,0,50,63.6,45,94.4,41,
,,,,,84.3,0,-,0,95,0,-,
,,,,,94,100,80,0,51.25,97.2,36,
,,,,,83.5,100,100,100,90,94.4,41,
,,,,,100,100,100,100,96.25,0,46,
,,,,,49.6,0,90,90.4,36.25,97.2,48,
,,,,,90.7,100,95,97.7,72.5,0,44,
,,,,,98.2,68.7,-,100,72.5,0,39,
,,,,,83.5,74.5,80,0,75,77.8,34,
,,,,,96,100,70,0,66.25,0,39,
,,,,,87.1,97.3,100,0,68.75,97.2,41,
,,,,,92.8,89.2,100,100,58.75,97.2,36,
,,,,,85.7,100,90,81.4,75,94.4,37,
,,,,,62.5,0,75,0,-,0,30,
,,,,,99.6,98.3,100,0,67.5,86.1,40,
,,,,,97.8,94.2,90,81.8,66.25,0,40,
,,,,,100,100,100,100,80,0,41,
,,,,,66.7,60.4,75,80,55,72.2,27,
,,,,,51.8,45.8,90,66.8,17.5,0,39,
,,,,,92.5,100,100,100,85,0,44,
,,,,,50.3,37,100,76.4,35,83.3,35,
,,,,,100,100,95,95.9,65,0,41,
,,,,,0,80.2,100,95.9,85,94.4,37,
,,,,,97.8,100,100,81.4,77.5,91.7,47,
,,,,,100,100,85,100,97.5,0,45,
,,,,,94.2,0,95,95.9,83.75,72.2,39,
,,,,,92.8,100,100,97.7,90,0,41,
,,,,,100,100,95,81.8,46.25,0,40,
,,,,,97.8,100,-,100,100,0,45,
,,,,,97.86,100,85,0,71.25,100,43,
,,,,,0,0,65,61.8,-,65,34,
,,,,,64,81.2,85,61.4,67.5,66.7,31,
,,,,,94.2,100,100,0,86.25,97.2,40,
,,,,,97.8,90,95,88.6,82.5,0,36,
,,,,,100,100,100,0,73.75,100,44,
,,,,,100,100,75,95.9,63.75,0,36,
,,,,,97.8,77.9,85,0,90,94.4,49,
,,,,,99.6,100,100,100,97.5,100,49,
,,,,,74.6,34.2,90,18.2,57.5,50,28,
,,,,,92.5,0,60,10.9,40,76.1,32,
,,,,,100,88.3,90,0,98.75,97.2,42,
,,,,,96,100,70,39.5,63.75,0,35,
,,,,,85.7,68.7,80,63.2,53.75,80.5,33,
,,,,,100,100,100,100,90,0,43,
,,,,,80.7,100,95,100,55,88.9,41,
,,,,,87,75.4,85,92.3,47.5,0,27,
,,,,,58.9,69.2,100,88.6,48.75,77.8,36,
,,,,,75,89.6,-,72.7,65,86.1,43,
,,,,,92.5,92,75,90.4,66.25,0,40,
,,,,,94.2,100,100,100,70,0,42,
,,,,,89,100,80,79.5,93.75,0,37,
,,,,,69.6,0,80,71.8,71.25,87.2,28,
,,,,,100,100,100,100,82.5,0,43,
,,,,,92.86,100,70,100,82.5,0,42,
,,,,,99.6,92.5,90,100,82.5,0,39,
,,,,,83.5,81,70,0,58.75,83.3,34,
,,,,,71.4,92,100,90.4,73.75,0,32,
,,,,,100,88.7,65,0,85,67.8,36,
,,,,,100,0,95,88.6,80,77.8,45,
,,,,,90.7,100,90,92.3,81.25,0,31,
,,,,,0,0,65,0,61.25,0,30,
,,,,,100,100,90,100,95,0,44,
,,,,,76.4,62,100,87.7,58.75,77.8,35,
,,,,,83.5,100,90,0,45,86.1,33,
,,,,,84.6,77.5,60,87.3,65,84.7,40,
,,,,,87.8,98.7,100,100,80,97.2,45,
,,,,,87,0,90,62.1,70,80.6,35,
,,,,,100,100,100,94,90,0,47,
,,,,,87,98.3,-,87.3,58.75,0,37,
,,,,,97.3,97,95,64.5,88.75,0,44,
,,,,,89.3,84.6,55,100,67.5,0,37,
,,,,,98.75,100,100,100,83.75,0,45,
,,,,,87,100,100,88.6,68.75,100,39,
,,,,,100,100,85,100,55,0,40,
,,,,,94.5,100,100,100,83.75,0,39,
,,,,,100,100,100,89.1,100,0,47,
,,,,,83,87,60,97.7,47.5,91.7,24,
,,,,,82,98.33,75,45,76.25,91.7,34,
,,,,,100,98.3,80,100,63.75,0,42,
,,,,,96,100,100,95.9,92.5,0,44,
,,,,,100,100,-,0,85,100,-,
,,,,,79,36.2,65,83.6,45,72.2,34,
,,,,,92.5,100,100,100,86.25,80.6,45,
