Student ID,Surname,First name,Email address,Laboratory,Assignment: Assignment_1 (Real),Assignment: Assignment_2 (Real),Assignment: Project (Real),Assignment: Assignment_3 (Real),Midterm (Real),Assignment: Assignment_4 (Real),External tool: Final Exam COMP (Real),Last downloaded from this course,total,Letter Grade
,,,,,0.03,0.03,0.25,0.09,0.40,0.10,0.10,,80.25,A-
,,,,,0.03,0.10,0.25,0.10,0.32,0.10,0.10,,84.69,A-
,,,,,0.10,0.03,0.17,0.10,0.40,0.10,0.10,,66.83,C
,,,,,0.03,0.10,0.25,0.10,0.32,0.10,0.10,,83.97,A-
,,,,,0.10,0.03,0.24,0.10,0.10,0.03,0.40,,29.26,F
,,,,,0.10,0.10,0.25,0.10,0.25,0.10,0.10,,73.35,B
,,,,,0.10,0.10,0.25,0.10,0.32,0.03,0.10,,87.50,A
,,,,,0.10,0.10,0.25,0.10,0.32,0.03,0.10,,78.80,B+
,,,,,0.03,0.09,0.25,0.10,0.40,0.03,0.10,,12.00,F
,,,,,0.10,0.10,0.17,0.03,0.40,0.10,0.10,,79.23,B+
,,,,,0.10,0.10,0.24,0.03,0.40,0.03,0.10,,77.08,B+
,,,,,0.10,0.03,0.10,0.10,0.40,0.10,0.17,,59.72,D+
,,,,,0.03,0.10,0.24,0.10,0.40,0.03,0.10,,74.51,B
,,,,,0.03,0.03,0.25,0.09,0.40,0.10,0.10,,64.24,C
,,,,,0.10,0.10,0.25,0.10,0.32,0.03,0.10,,80.25,A-
,,,,,0.10,0.10,0.10,0.10,0.40,0.10,0.10,,69.17,C+
,,,,,0.10,0.10,0.25,0.10,0.25,0.10,0.10,,92.67,A+
,,,,,0.10,0.10,0.25,0.03,0.39,0.03,0.10,,77.44,B+
,,,,,0.10,0.03,0.25,0.10,0.39,0.03,0.10,,68.67,C+
,,,,,0.03,0.10,0.10,0.10,0.40,0.03,0.24,,50.78,D-
,,,,,0.03,0.03,0.25,0.10,0.40,0.09,0.10,,69.25,C+
,,,,,0.10,0.10,0.25,0.03,0.39,0.03,0.10,,64.98,C
,,,,,0.10,0.10,0.17,0.10,0.40,0.03,0.10,,90.65,A+
,,,,,0.10,0.10,0.25,0.10,0.25,0.10,0.10,,84.30,A-
,,,,,0.10,0.10,0.25,0.03,0.32,0.10,0.10,,71.71,B-
,,,,,0.10,0.03,0.25,0.10,0.32,0.10,0.10,,78.25,B+
,,,,,0.10,0.03,0.17,0.10,0.40,0.10,0.10,,89.99,A
,,,,,0.10,0.10,0.25,0.10,0.32,0.03,0.10,,68.45,C+
,,,,,0.10,0.03,0.25,0.10,0.39,0.03,0.10,,78.93,B+
,,,,,0.10,0.03,0.25,0.10,0.32,0.10,0.10,,86.75,A
,,,,,0.10,0.10,0.25,0.10,0.25,0.10,0.10,,85.76,A
,,,,,0.10,0.10,0.17,0.10,0.40,0.03,0.10,,88.52,A
,,,,,0.03,0.03,0.25,0.03,0.40,0.10,0.16,,59.04,D+
,,,,,0.10,0.10,0.25,0.10,0.25,0.10,0.10,,87.65,A
,,,,,0.10,0.10,0.17,0.10,0.40,0.03,0.10,,81.54,A-
,,,,,0.10,0.03,0.25,0.10,0.32,0.10,0.10,,82.01,A-
,,,,,0.10,0.10,0.25,0.10,0.25,0.10,0.10,,89.64,A
